sample,Hash,nReads
LK_201710B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,11916
CP_201711A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1163
CP_201711B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,298
FH_201711B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1649
LK_201709C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2638
FH_201711A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1928
CP_201711B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1387
FH_201710A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2999
CP_201711A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,354
FH_201710B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1701
CP_201710B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,3207
CP_201710C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,3792
LK_201709A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1663
CP_201710B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2812
LK_201709B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1661
CP_201709B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1960
LK_201711B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1429
CP_201710C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,1110
LK_201709A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,3079
CP_201709C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2839
FH_201709A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,726
FH_201711C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,740
FH_201709B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,3973
CP_201709A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2210
LK_201711A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1456
CP_201711B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,1517
LK_201709A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2618
LK_201710A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,10151
FH_201711A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,3014
CP_201709B.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,3978
LK_201709C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2017
LK_201711C.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,428
LK_201710A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,2331
FH_201710B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2278
CP_201709A.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,2243
CP_201710A.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,2244
CP_201709B.1,5ae1341da7ed3b29f88201563c85b12b0112a65a,843
LK_201711A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1107
FH_201709B.2,5ae1341da7ed3b29f88201563c85b12b0112a65a,2442
LK_201711C.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,617
FH_201710A.3,5ae1341da7ed3b29f88201563c85b12b0112a65a,1997
