ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
572,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,corticulatus,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
573,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,dimorphis,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
574,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,parvus,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
575,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,siliculosus,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
576,Animalia,Cnidaria,Hydrozoa,Anthoathecatae,Tubulariidae,Ectopleura,marina,Pink Hydroid,,No mineralization,No mineralization,Race Rocks; PSMEP_Benthic_Inverts((Torrey 1902)),Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
577,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,menziesii,Feather Boa Kelp,,No mineralization,No mineralization,Emerald Diving,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
578,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,arborea,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
579,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Elachista,fucicola,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
580,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Elassochirus,tenuimanus,Windband Hermit,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Emerald Diving; PSMEP_Benthic_Inverts((Dana 1851)),"Spicer and Eriksson 2003, McLaughlin Lemaitre2000","Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
581,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Elassochirus,gilli,Orange Hermit Crab,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Race Rocks,"Spicer and Eriksson 2003, McLaughlin Lemaitre2000","Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
582,Animalia,Mollusca,Gastropoda,Sacoglossa,Elysiidae,Elysia,hedgpethi,Hedgpeth's Sea Hare,,"Amorphous, Aragonite",Aragonite,WSU Beachwatchers,"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
583,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,lateralis,Striped seaperch,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
584,Animalia,Nemertea,Enopla,Hoplonemertea,Emplectonematidae,Emplectonema,gracile,Green Ribbon worm,,Non-CaCO3 mineral,Non-CaCO3 mineral,Race Rocks,Assumed no CaCO3 structures as none in adult,"Stricker et al 1985, Lowenstem and Weiner 1989",ITIS
585,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Endocladiaceae,Endocladia,muricata,Coralline algae,,No mineralization,No mineralization,"Race Rocks, Scagel et al 1989",Assumed no mineralization as none in adult,Bassi et al 2007,AlgaeBase
586,Plantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Endophyton,ramosum,,,No mineralization,No mineralization,Scagel et al 1989,Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
587,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,Northern anchovy,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
588,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,lutris,Sea otter,,Vertebrate,Vertebrate,Harvey et al 2010,Vertebrate,Vertebrate,ITIS
589,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,bison,Buffalo sculpin,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
