MiSeq_Run,sample,Hash,nReads
5,LL_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3491
5,SA_201703B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1
5,TW_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1510
5,TW_201709B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4845
5,SA_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,15438
5,TW_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1120
5,TR_201703A.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,1
5,TW_201711B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,40
5,TR_201711C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,2230
5,SA_201711A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,5008
5,TR_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,2385
5,LL_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,4131
5,TR_201709B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4154
5,SA_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,9670
5,PO_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,4538
5,PO_201711B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1627
5,PO_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1795
5,SA_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,9472
5,PO_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,6975
5,SA_201711C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,694
5,TR_201703A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,5
5,TW_201711B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,166
5,TR_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,9886
5,PO_201709A.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,4409
5,PO_201711B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,1165
5,LL_201711B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,1982
5,TR_201703C.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,10
5,PO_201711A.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,1675
5,TR_201709B.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,13923
5,TR_201703C.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,26
5,LL_201709A.3,a31d4e16bf8a39f654272a1186dba2dda26ab921,6139
5,LL_201709C.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,8335
5,SA_201709B.2,a31d4e16bf8a39f654272a1186dba2dda26ab921,4501
5,PO_201709A.1,a31d4e16bf8a39f654272a1186dba2dda26ab921,4175
